session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,thumbstick_angle,thumbstick_time_sec,action_count,action_angles,action_durations,first_action_onset,last_action_offset,action_time_intervals,vr_setup
2,0,0xFB,-1,1.737671,Match,Match,bbbdddrrb,0,"{'1': 217.10683158902316, '2': 217.10683158902316}",[],[],0.0,{},{},0.0,1.737671,{},Action
2,1,0xFB,-1,1.372925,Match,Match,uuuuubbul,0,"{'1': 334.0002298146077, '2': 334.0002298146077}",[],[],0.0,{},{},0.0,1.372925,{},Action
2,2,0xFB,-1,2.54248,Match,Match,lbbddllll,120,"{'1': 147.56902852488014, '2': 27.56902852488014}",[],[],0.0,{},{},0.0,2.54248,{},Action
2,3,0xFB,-1,10.05225,Match,Match,bdddllbbb,120,"{'1': 131.9737633310424, '2': 251.9737633310424}","[0.0, 2.53, 6.31, 10.21, 14.16, 18.27, 22.55, 26.9, 31.43, 36.09, 40.86, 45.66, 50.5, 55.41, 60.32, 65.25, 70.18, 75.11, 80.04, 84.97, 89.91, 94.85, 99.8, 104.76, 109.75, 114.75, 119.75, 124.75, 129.75, 134.75, 139.75, 144.75, 149.74, 154.74, 159.74, 164.74, 169.74, 174.74, 179.74, 184.73, 189.7, 194.62, 195.74, 195.74, 197.08, 200.05, 204.97, 209.88, 214.8, 219.71, 224.64, 229.57, 234.5, 239.44, 244.38, 249.34, 254.34, 256.34]","[7.385864, 7.39978, 7.41394, 7.427734, 7.441772, 7.4552, 7.46936, 7.483276, 7.496704, 7.510864, 7.524902, 7.538452, 7.552734, 7.56665, 7.580322, 7.593872, 7.608032, 7.621948, 7.635376, 7.65271, 7.663696, 7.67688, 7.691162, 7.705078, 7.71875, 7.733032, 7.746826, 7.760864, 7.774292, 7.788452, 7.802612, 7.815918, 7.830566, 7.844116, 7.857544, 7.871826, 7.885864, 7.899536, 7.913574, 7.927612, 7.941406, 7.954834, 8.941162, 8.955078, 8.969849, 8.983643, 8.996582, 9.011475, 9.02478, 9.038452, 9.052612, 9.066284, 9.080322, 9.093628, 9.107788, 9.121948, 9.135376, 9.149536]",2.0,"{'1': 165.37413387838527, '2': -59.25442682456239}","{'1': 0.5899999999999999, '2': 0.20000000000000107}",7.37,9.14,"{'1': {'start': 7.37, 'end': 7.96}, '2': {'start': 8.94, 'end': 9.14}}",Action
2,4,0xFB,-1,4.593872,Match,Match,bddrddddd,120,"{'1': 156.52053618903795, '2': 36.520536189037955}",[],[],0.0,{},{},0.0,4.593872,{},Action
2,5,0xFB,-1,5.864868,Match,Match,lbbddllll,60,"{'1': 74.39855280945892, '2': 14.39855280945892}",[],[],0.0,{},{},0.0,5.864868,{},Action
2,6,0xFB,-1,9.308594,Match,Match,bddddddrd,120,"{'1': 69.21344489697128, '2': 189.21344489697128}","[0.0, 3.75, 7.7, 11.7, 15.82, 20.04, 24.38, 28.78, 33.25, 37.86, 42.51, 47.2, 51.93, 56.65, 61.4, 66.16, 70.94, 75.73, 80.53, 85.33, 90.13, 94.93, 99.73, 104.53, 109.31, 114.09, 118.85, 123.59, 128.33, 133.07, 137.79, 142.52, 147.24, 151.96, 156.68, 161.4, 166.12, 170.77, 175.28, 179.67, 179.67, 180.23, 181.28, 182.75, 185.87, 190.48, 195.42, 200.33, 205.24, 210.15, 215.06, 219.97, 224.89, 229.83, 234.8, 239.68]","[5.6698, 5.68396, 5.697632, 5.71167, 5.725586, 5.739502, 5.75293, 5.767212, 5.781128, 5.794556, 5.808838, 5.822754, 5.836304, 5.850464, 5.86438, 5.878418, 5.891846, 5.906128, 5.920044, 5.933472, 5.947754, 5.961792, 5.97522, 5.989258, 6.003174, 6.016968, 6.031006, 6.044922, 6.05896, 6.072388, 6.086548, 6.100464, 6.114014, 6.128296, 6.142212, 6.155762, 6.169922, 6.183838, 6.19751, 7.475098, 7.489502, 7.50354, 7.517212, 7.531372, 7.545044, 7.55896, 7.572388, 7.58667, 7.600464, 7.614014, 7.628174, 7.642212, 7.655762, 7.6698, 7.683716, 7.697388]",2.0,"{'1': 175.28855604467168, '2': -56.71652001242806}","{'1': 0.54, '2': 0.20000000000000018}",5.66,7.69,"{'1': {'start': 5.66, 'end': 6.2}, '2': {'start': 7.49, 'end': 7.69}}",Action
2,7,0xFB,-1,10.58618,Match,Match,uubbbbruu,60,"{'1': 206.58551918301131, '2': 146.58551918301131}","[0.0, 3.58, 7.5, 11.55, 15.64, 19.8, 24.0, 28.24, 32.53, 36.87, 41.22, 45.63, 50.06, 54.49, 58.96, 63.45, 67.97, 72.54, 77.23, 82.14, 84.86, 85.98, 85.98, 85.98, 86.29, 87.33, 88.37, 90.64, 93.75, 97.09, 101.95, 106.82, 111.68, 116.54, 121.4, 126.26, 131.15, 136.06, 139.18, 141.51, 141.95, 139.64, 135.41, 130.41, 125.43, 120.45, 115.48, 110.52, 105.56, 100.62, 95.68, 90.75, 87.43]","[7.51709, 7.53125, 7.544922, 7.55896, 7.57312, 7.586426, 7.60083, 7.614746, 7.628296, 7.642334, 7.656128, 7.6698, 7.683838, 7.697754, 7.711792, 7.725098, 7.73938, 7.753296, 7.766724, 7.78125, 7.795044, 7.808472, 7.975464, 7.989258, 8.003418, 8.017456, 8.031494, 8.044678, 8.05896, 8.072876, 8.086182, 8.100586, 8.114624, 8.128052, 8.142212, 8.15625, 8.169556, 8.183838, 8.197754, 8.211792, 9.072876, 9.086548, 9.100586, 9.114502, 9.12793, 9.142456, 9.157471, 9.170044, 9.183472, 9.197754, 9.211792, 9.22522, 9.239502]",3.0,"{'1': 85.98, '2': 55.517949804991574, '3': -52.304581474043516}","{'1': 0.3100000000000005, '2': 0.23000000000000043, '3': 0.16999999999999993}",7.5,9.23,"{'1': {'start': 7.5, 'end': 7.8100000000000005}, '2': {'start': 7.99, 'end': 8.22}, '3': {'start': 9.06, 'end': 9.23}}",Action
2,8,0xFB,-1,3.2677,Match,Match,rrrbbbddb,60,"{'1': 55.77940051323838, '2': 115.77940051323839}",[],[],0.0,{},{},0.0,3.2677,{},Action
2,9,0xFB,-1,3.140747,Match,Match,ffuuuurrf,0,"{'1': 344.3973199539442, '2': 344.3973199539442}",[],[],0.0,{},{},0.0,3.140747,{},Action
