session_ID,trial_ID,subject_ID,cohort_ID,response_time_sec,response_decision,trial_condition,shape_description,angular_disparity,object_angles,vr_setup
2,0,0xFB,-1,2.220825,Match,Match,bbbdddrrb,0,"{'1': 217.10683158902316, '2': 217.10683158902316}",No-Action
2,1,0xFB,-1,1.543701,Match,Match,uuuuubbul,0,"{'1': 334.0002298146077, '2': 334.0002298146077}",No-Action
2,2,0xFB,-1,4.638428,Match,Match,lbbddllll,120,"{'1': 147.56902852488014, '2': 27.56902852488014}",No-Action
2,3,0xFB,-1,3.843262,Match,Match,bdddllbbb,120,"{'1': 131.9737633310424, '2': 251.9737633310424}",No-Action
2,4,0xFB,-1,9.91687,Match,Match,bddrddddd,120,"{'1': 156.52053618903795, '2': 36.520536189037955}",No-Action
2,5,0xFB,-1,4.690918,Match,Match,lbbddllll,60,"{'1': 74.39855280945892, '2': 14.39855280945892}",No-Action
2,6,0xFB,-1,5.699341,Match,Match,bddddddrd,120,"{'1': 69.21344489697128, '2': 189.21344489697128}",No-Action
2,7,0xFB,-1,4.732788,Match,Match,uubbbbruu,60,"{'1': 206.58551918301131, '2': 146.58551918301131}",No-Action
2,8,0xFB,-1,3.879272,Match,Match,rrrbbbddb,60,"{'1': 55.77940051323838, '2': 115.77940051323839}",No-Action
2,9,0xFB,-1,4.180176,Match,Match,ffuuuurrf,0,"{'1': 344.3973199539442, '2': 344.3973199539442}",No-Action
2,10,0xFB,-1,1.785522,Match,Match,lllllbbul,0,"{'1': 48.88592489101419, '2': 48.88592489101419}",No-Action
2,11,0xFB,-1,3.721069,Match,Match,bdddllbbb,60,"{'1': 36.15915843374441, '2': 336.15915843374444}",No-Action
2,12,0xFB,-1,4.545776,Match,Match,rrrrbbbdr,0,"{'1': 67.90641730513417, '2': 67.90641730513417}",No-Action
2,13,0xFB,-1,6.657227,Mismatch,Match,dbbbblllu,60,"{'1': 288.08002615997464, '2': 228.08002615997466}",No-Action
2,14,0xFB,-1,2.611572,Match,Match,bddrddddd,60,"{'1': 314.37211754166, '2': 14.372117541659968}",No-Action
2,15,0xFB,-1,13.6405,Mismatch,Match,ffuulllbb,180,"{'1': 313.7304945010443, '2': 133.7304945010443}",No-Action
2,16,0xFB,-1,1.791748,Match,Match,uuuuubbul,60,"{'1': 40.43748436218127, '2': 100.43748436218127}",No-Action
2,17,0xFB,-1,3.362183,Match,Match,uubbbbruu,60,"{'1': 214.38208170396663, '2': 154.38208170396663}",No-Action
2,18,0xFB,-1,7.121826,Match,Match,dbbbblllu,0,"{'1': 148.45875498110837, '2': 148.45875498110837}",No-Action
2,19,0xFB,-1,4.073486,Match,Match,bdddbllll,180,"{'1': 118.33444845966783, '2': 298.33444845966784}",No-Action
2,20,0xFB,-1,4.155029,Match,Match,bbbdddrrb,0,"{'1': 223.81530946512058, '2': 223.81530946512058}",No-Action
2,21,0xFB,-1,9.097412,Match,Match,uuuuubbul,180,"{'1': 240.83319332182907, '2': 60.833193321829086}",No-Action
2,22,0xFB,-1,1.69397,Match,Match,uuuubbbur,0,"{'1': 238.85679465416692, '2': 238.85679465416692}",No-Action
2,23,0xFB,-1,3.903687,Match,Match,bdddbllll,180,"{'1': 232.8212418432721, '2': 52.821241843272105}",No-Action
2,24,0xFB,-1,2.71875,Match,Match,uuubbrrrf,60,"{'1': 150.00883209073515, '2': 90.00883209073515}",No-Action
2,25,0xFB,-1,5.974976,Mismatch,Mismatch,uubbbbruu,120,"{'1': 52.57266050221438, '2': 292.5726605022144}",No-Action
2,26,0xFB,-1,6.2229,Mismatch,Mismatch,rbbbbbldd,0,"{'1': 343.83454466454566, '2': 343.83454466454566}",No-Action
2,27,0xFB,-1,6.121582,Mismatch,Mismatch,rbbbbbbub,120,"{'1': 161.73957628770705, '2': 41.73957628770705}",No-Action
2,28,0xFB,-1,10.18396,Mismatch,Mismatch,ffffuulff,60,"{'1': 299.5500606228896, '2': 359.5500606228896}",No-Action
2,29,0xFB,-1,11.68469,Mismatch,Mismatch,bbddbblll,60,"{'1': 21.984312631901275, '2': 321.9843126319013}",No-Action
2,30,0xFB,-1,5.635986,Mismatch,Mismatch,llbbbrruu,0,"{'1': 324.7645386565817, '2': 324.7645386565817}",No-Action
2,31,0xFB,-1,15.63696,Mismatch,Mismatch,ffuubrrrr,60,"{'1': 39.45211153867348, '2': 99.45211153867348}",No-Action
2,32,0xFB,-1,4.876587,Mismatch,Mismatch,ddbbddddl,120,"{'1': 300.9607029537999, '2': 180.9607029537999}",No-Action
2,33,0xFB,-1,7.752563,Mismatch,Mismatch,bbbdddrrb,0,"{'1': 311.07339910705457, '2': 311.07339910705457}",No-Action
2,34,0xFB,-1,14.1936,Mismatch,Mismatch,bddrddddd,60,"{'1': 334.75424494544546, '2': 274.75424494544546}",No-Action
2,35,0xFB,-1,7.851196,Mismatch,Mismatch,bdddllbbb,0,"{'1': 158.66733192120256, '2': 158.66733192120256}",No-Action
2,36,0xFB,-1,5.889404,Mismatch,Mismatch,rbbbbbbub,0,"{'1': 155.13026934030677, '2': 155.13026934030677}",No-Action
2,37,0xFB,-1,7.632935,Mismatch,Mismatch,uuubbrrrf,180,"{'1': 152.58248904596337, '2': 332.58248904596337}",No-Action
2,38,0xFB,-1,7.570435,Mismatch,Mismatch,lllbbbubb,60,"{'1': 54.775586312017374, '2': 114.77558631201737}",No-Action
2,39,0xFB,-1,14.89246,Mismatch,Mismatch,uuuuubbul,60,"{'1': 253.04931586615646, '2': 193.04931586615646}",No-Action
2,40,0xFB,-1,5.752686,Mismatch,Mismatch,bbbdddrrb,180,"{'1': 294.278615462114, '2': 114.27861546211398}",No-Action
2,41,0xFB,-1,12.69519,Mismatch,Mismatch,llbbbrruu,180,"{'1': 286.9098219050356, '2': 106.90982190503559}",No-Action
2,42,0xFB,-1,3.16394,Mismatch,Mismatch,ffuuuurrf,180,"{'1': 221.09142116161618, '2': 41.09142116161618}",No-Action
2,43,0xFB,-1,4.494385,Mismatch,Mismatch,ffuulllbb,0,"{'1': 47.84840650985955, '2': 47.84840650985955}",No-Action
2,44,0xFB,-1,7.778931,Mismatch,Mismatch,uuubbrrrf,180,"{'1': 303.2958236702114, '2': 123.29582367021138}",No-Action
2,45,0xFB,-1,5.768799,Mismatch,Mismatch,bdddllbbb,60,"{'1': 162.30384336327114, '2': 222.30384336327114}",No-Action
2,46,0xFB,-1,21.81921,Mismatch,Mismatch,ddbbddddl,60,"{'1': 20.532961757513526, '2': 80.53296175751353}",No-Action
2,47,0xFB,-1,5.628296,Mismatch,Mismatch,bbddbblll,0,"{'1': 117.10174008489184, '2': 117.10174008489184}",No-Action
2,48,0xFB,-1,5.193481,Mismatch,Mismatch,ddbbddddl,180,"{'1': 21.67230921467345, '2': 201.67230921467345}",No-Action
2,49,0xFB,-1,5.265137,Mismatch,Mismatch,ffffuulff,180,"{'1': 333.8587752913037, '2': 153.8587752913037}",No-Action
3,0,0xFB,1,3.822754,Match,Match,bdddbllll,0,"{'1': 52.91861761483567, '2': 52.91861761483567}",No-Action
3,1,0xFB,1,7.050293,Match,Match,lllbbbubb,120,"{'1': 17.648447864990295, '2': 137.6484478649903}",No-Action
3,2,0xFB,1,1.330566,Match,Match,bdddllbbb,0,"{'1': 323.68654722111233, '2': 323.68654722111233}",No-Action
3,3,0xFB,1,1.887451,Match,Match,rbbbdddff,0,"{'1': 209.7655225309319, '2': 209.7655225309319}",No-Action
3,4,0xFB,1,8.656006,Match,Match,rrrrbbbdr,180,"{'1': 304.09194055990326, '2': 124.09194055990326}",No-Action
3,5,0xFB,1,5.84668,Match,Match,ddbbddddl,60,"{'1': 51.39973507264532, '2': 351.39973507264534}",No-Action
3,6,0xFB,1,2.127686,Match,Match,rrrrbbbdr,0,"{'1': 128.50402536639388, '2': 128.50402536639388}",No-Action
3,7,0xFB,1,1.796875,Match,Match,ffuulllbb,0,"{'1': 151.05211282187008, '2': 151.05211282187008}",No-Action
3,8,0xFB,1,1.360596,Match,Match,rbbbbbbub,0,"{'1': 67.47656459594786, '2': 67.47656459594786}",No-Action
3,9,0xFB,1,4.919922,Match,Match,lllbbbluu,180,"{'1': 223.27059667450027, '2': 43.27059667450027}",No-Action
3,10,0xFB,1,2.333008,Match,Match,rrrrbbbdr,0,"{'1': 119.39171623680613, '2': 119.39171623680613}",No-Action
3,11,0xFB,1,4.041992,Match,Match,llbbbbbru,180,"{'1': 320.5405542825008, '2': 140.5405542825008}",No-Action
3,12,0xFB,1,2.028076,Match,Match,bbbdddrrb,0,"{'1': 339.6540141721071, '2': 339.6540141721071}",No-Action
3,13,0xFB,1,3.865479,Mismatch,Match,ffuulllbb,60,"{'1': 238.25576979704107, '2': 298.25576979704107}",No-Action
3,14,0xFB,1,2.361084,Match,Match,bbddbblll,0,"{'1': 56.46258018039333, '2': 56.46258018039333}",No-Action
3,15,0xFB,1,6.738037,Match,Match,ffuulllbb,180,"{'1': 324.4405639480044, '2': 144.4405639480044}",No-Action
3,16,0xFB,1,2.206787,Match,Match,llbbbbbru,0,"{'1': 59.737230314385215, '2': 59.737230314385215}",No-Action
